magnitude;time
1;16.112775656941245
1;16.113082948955125
1;16.11337316919046
1;16.114884021592044
1;16.118268501689382
1;16.119160502118564
1;16.12164871384208
1;16.12181943162757
1;16.13826382231488
13;16.138780243615987
1;16.13881011922845
1;16.139108875353056
1;16.14263419762342
1;16.142813451298185
1;16.14505412223274
1;16.15289433653136
1;16.158032941874605
1;16.15934746882288
2;16.166124964906825
1;16.16628714680304
1;16.17789595621635
1;16.284551892701142
1;16.40996544586663
1;16.423315576691934
2;16.43195816458236
1;16.432005111973368
1;16.437916215295957
1;16.44458701276397
1;16.445329635130854
3;16.450801140155804
1;16.450967589996655
1;16.45125354228735
1;16.45221382983073
1;16.45255953334635
1;16.460019900572256
1;16.46253371996359
13;16.469763618179087
1;16.503279787415384
1;16.51834136404023
12;16.51945529759055
1;16.520005862448755
1;16.522156906545927
1;16.522587968954287
1;16.52612182711393
1;16.52816190465053
1;16.536151497011456
1;16.536757545149946
1;16.537162999890484
1;16.53749589957219
1;16.538387900001375
1;16.543342983725218
1;16.544337414825694
1;16.545583654659772
1;16.545707425054253
1;16.546910985441954
1;16.547235349234388
1;16.79098193541217
1;16.80511736805073
3;16.805390516507515
1;16.805702076466034
1;16.808318326528664
1;16.818595537215153
2;16.81957716448172
1;16.819602772149544
1;16.830618337258276
1;16.834638741106563
1;16.842359452955343
1;16.843917252747936
1;16.84393005658185
2;16.847950460430134
1;16.848257752444017
1;16.85011004041658
1;16.850152719862955
1;16.850242346700337
6;16.850852662783463
1;16.85272202253458
1;16.85367377418868
1;16.854817583351466
1;16.85583762211977
1;16.856290024251315
1;16.857604551199586
1;16.859222102217103
1;16.8639083054288
2;16.866567234937804
1;16.86680623983749
1;16.868240269235606
1;16.87055776317363
1;16.874083085443996
1;16.909536901545604
1;16.909605188659796
1;16.909921016562954
1;16.910283791857122
1;16.914086530528905
1;16.91919526025969
1;16.93320692250377
1;17.16160171182138
3;17.162596142921856
1;17.16533616337897
2;17.169608375960852
2;17.17480673252902
1;17.176351728487703
1;17.177405910813103
1;17.17818267673708
1;17.179373433290873
1;17.184051100613296
1;17.188237954302434
2;17.18935615579739
1;17.18967198370055
1;17.1904914290709
2;17.194341115133696
1;17.19503679010957
1;17.20472502443612
1;17.207887571412318
1;17.212642061738208
1;17.22130598935182
1;17.223448497559716
1;17.224152708424864
1;17.257246351142072
1;17.26267517672065
1;17.2652017999459
1;17.280882228543142
13;17.568341103695605
1;17.575566733966465
2;17.588835773843662
1;17.592553153622703
1;17.594162168750945
1;17.597691758965947
3;17.604409503824975
1;17.604644240780022
